# system_processes: M|S|A
eid,processes,vc,props
s_int1,S,M:0;S:1;A:0,load_high
a_int2,A,M:0;S:0;A:1,
sm_comm3,S|M,M:1;A:0;S:2,s_m_comm
am_comm4,A|M,M:2;A:2;S:2,a_m_comm
m_decide5,M,M:3;A:2;S:2,
s_int6,S,M:1;A:0;S:3,load_lt_100
a_int7,A,M:2;A:3;S:2,
sm_comm8,S|M,M:4;A:2;S:4,s_m_comm
am_comm9,A|M,M:5;A:4;S:4,a_m_comm
m_decide10,M,M:6;A:4;S:4,load_lt_100
s_int11,S,M:4;A:2;S:5,load_high
a_int12,A,M:5;A:5;S:4,
sm_comm13,S|M,M:7;A:4;S:6,s_m_comm
am_comm14,A|M,M:8;A:6;S:6,a_m_comm
m_decide15,M,M:9;A:6;S:6,
s_int16,S,M:7;A:4;S:7,load_high
a_int17,A,M:8;A:7;S:6,critical_alarm
sm_comm18,S|M,M:10;A:6;S:8,s_m_comm
am_comm19,A|M,M:11;A:8;S:8,a_m_comm
m_decide20,M,M:12;A:8;S:8,critical_alarm
s_int21,S,M:10;A:6;S:9,load_lt_100
a_int22,A,M:11;A:9;S:8,
sm_comm23,S|M,M:13;A:8;S:10,s_m_comm
am_comm24,A|M,M:14;A:10;S:10,a_m_comm
m_decide25,M,M:15;A:10;S:10,load_lt_100
s_int26,S,M:13;A:8;S:11,load_high
a_int27,A,M:14;A:11;S:10,critical_alarm
sm_comm28,S|M,M:16;A:10;S:12,s_m_comm
am_comm29,A|M,M:17;A:12;S:12,a_m_comm
m_decide30,M,M:18;A:12;S:12,critical_alarm
s_int31,S,M:16;A:10;S:13,load_lt_100
a_int32,A,M:17;A:13;S:12,
sm_comm33,S|M,M:19;A:12;S:14,s_m_comm
am_comm34,A|M,M:20;A:14;S:14,a_m_comm
m_decide35,M,M:21;A:14;S:14,load_lt_100
s_int36,S,M:19;A:12;S:15,load_high
a_int37,A,M:20;A:15;S:14,critical_alarm
sm_comm38,S|M,M:22;A:14;S:16,s_m_comm
am_comm39,A|M,M:23;A:16;S:16,a_m_comm
m_decide40,M,M:24;A:16;S:16,critical_alarm
s_int41,S,M:22;A:14;S:17,load_lt_100
a_int42,A,M:23;A:17;S:16,
sm_comm43,S|M,M:25;A:16;S:18,s_m_comm
am_comm44,A|M,M:26;A:18;S:18,a_m_comm
m_decide45,M,M:27;A:18;S:18,load_lt_100|status_ok
