# system_processes: S1|J1|J2|MS|S2|PO
eid,processes,vc,props
s1_int1,S1,S1:1;J1:0;J2:0;MS:0;S2:0;PO:0,dS1
j1_int2,J1,S1:0;J1:1;J2:0;MS:0;S2:0;PO:0,dJ1
j2_int3,J2,S1:0;J1:0;J2:1;MS:0;S2:0;PO:0,dJ2
ms_int4,MS,S1:0;J1:0;J2:0;MS:1;S2:0;PO:0,dMS
s2_int5,S2,S1:0;J1:0;J2:0;MS:0;S2:1;PO:0,dS2
j2_po_comm6,J2|PO,J1:0;MS:0;PO:1;J2:2;S1:0;S2:0,cJ2PO
s2_po_comm7,S2|PO,J1:0;MS:0;PO:2;J2:2;S1:0;S2:2,cS2PO
po_eval8,PO,J1:0;MS:0;PO:3;J2:2;S1:0;S2:2,poe
s1_int9,S1,S1:2;J1:0;J2:0;MS:0;S2:0;PO:0,dS1
j1_int10,J1,S1:0;J1:2;J2:0;MS:0;S2:0;PO:0,dJ1
j2_int11,J2,J1:0;MS:0;PO:1;J2:3;S1:0;S2:0,dJ2
ms_int12,MS,S1:0;J1:0;J2:0;MS:2;S2:0;PO:0,
s2_int13,S2,J1:0;MS:0;PO:2;J2:2;S1:0;S2:3,s2
ms_po_comm14,MS|PO,J1:0;MS:3;PO:4;J2:2;S1:0;S2:2,cMSPO
po_eval15,PO,J1:0;MS:3;PO:5;J2:2;S1:0;S2:2,k_not_j1|k_not_s2|poe
s1_int16,S1,S1:3;J1:0;J2:0;MS:0;S2:0;PO:0,s1
j1_int17,J1,S1:0;J1:3;J2:0;MS:0;S2:0;PO:0,
j2_int18,J2,J1:0;MS:0;PO:1;J2:4;S1:0;S2:0,
ms_int19,MS,J1:0;MS:4;PO:4;J2:2;S1:0;S2:2,
s2_int20,S2,J1:0;MS:0;PO:2;J2:2;S1:0;S2:4,
s1_po_comm21,S1|PO,J1:0;MS:3;PO:6;J2:2;S1:4;S2:2,cS1PO
j1_po_comm22,J1|PO,J1:4;MS:3;PO:7;J2:2;S1:4;S2:2,cJ1PO
